Run,Event,Type1,E1,px1 ,py1,pz1,pt1,eta1,phi1,Q1,Type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
149011,220518259,G,5.2807,1.78904,4.61407,-1.83964,4.94877,-0.363668,1.20091,1,G,9.77051,-6.06088,6.87221,3.38972,9.16305,0.361977,2.29354,1,8.59959
149011,220512075,G,15.7414,2.66782,-0.433,15.5073,2.70273,2.4477,-0.160902,-1,G,11.5377,3.50613,10.9083,-1.35006,11.458,-0.117557,1.25981,-1,19.8965
149011,220538739,G,5.34994,3.0553,-3.3752,-2.80782,4.55267,-0.583127,-0.835105,1,G,8.20994,-4.87129,3.26533,-5.74457,5.86446,-0.866843,2.55106,1,10.3642
149011,220550203,G,16.9144,1.17787,-3.01997,-16.6005,3.24154,-2.33593,-1.19892,1,G,7.92828,2.70688,-2.36813,7.06478,3.59656,1.42756,-0.718747,1,21.9569
149011,220602499,G,21.3793,1.23776,3.80488,-21.0012,4.00114,-2.3601,1.25628,-1,G,6.69925,-3.26395,0.0616293,-5.84908,3.26453,-1.34641,3.12271,1,6.95757
149011,220527819,G,7.61368,2.64092,0.522809,7.12103,2.69218,1.69981,0.195437,1,G,22.6298,-12.9525,14.5075,-11.57,19.4482,-0.564456,2.29963,1,23.72
149011,220614507,G,23.0371,2.2921,-7.71936,-21.5837,8.05247,-1.71222,-1.28216,-1,T,2.8892,-0.413079,-0.664499,-2.77923,0.782428,-1.97993,-2.12698,-1,2.19148
149011,220628451,G,11.2866,-2.50977,-9.20645,-6.02643,9.54241,-0.595682,-1.83694,1,G,8.98065,3.68641,6.17751,-5.3749,7.19384,-0.690868,1.03277,1,16.4381
147222,41598601,G,29.0374,-0.653227,11.4011,-26.6974,11.4198,-1.58526,1.62803,1,T,14.2712,-1.47488,-2.05711,-14.0445,2.5312,-2.41471,-2.19282,-1,11.1308
147222,41697281,G,16.4996,7.65843,5.14189,-13.6797,9.22446,-1.18529,0.591274,-1,T,10.0493,3.44925,1.96746,-9.23089,3.97092,-1.58005,0.518372,-1,2.45457
